"","V1"
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.accumulation.of.compatible.solutes.transport.of.compatible.solutes",0.285914406711729
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.monosaccharide.transport",-0.123145995493972
"Resource.Acquisition.Substrate.uptake.ion.transport.inorganic.ion.transport",0.278337917468845
"Resource.Acquisition.Substrate.assimilation.P.compounds.phytase",0.0868347341945889
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",0.236537810177856
"Resource.Acquisition.Substrate.uptake.aromatic.acid.transport",-0.0596706820228894
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.ribonucleoside.transport",0.0832292797037273
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.trehalose.degradation",-0.0449051276266675
"Resource.Acquisition.Substrate.assimilation.N.compounds.ammonia.assimilation.to.glutamate",0.230039800130775
"Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.formaldehyde.assimilation.with.serine.pathway",-0.0386389901615272
"Resource.Acquisition.Substrate.uptake.secondary.metabolite.transport.siderophore.based.transport",0.192354377252922
"Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.H4F.pathway",0.0299019355951451
"Resource.Acquisition.Substrate.uptake.lipid.transport.lipid.precursor.transport",-0.101613063961753
"Resource.Acquisition.Substrate.assimilation.N.compounds.ammonia.assimilation.to.glutamine",0.0590561983769629
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.EMP.pathway",-0.0764316311915662
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",0.0925496953948614
"Resource.Use.Phototrophy.pigments.accessory.carotenoid.xanthophyll.okenone",-0.0775548294562361
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",-0.113963537628348
"Resource.Use.Chemotrophy.chemoorganoheterotrophy.fermentation.of.pyruvate.to.alcohols",-0.147265627862279
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.RNA.degradation",0.123054827218151
"Stress.Tolerance.Specific.pH.stress.membrane.stabilization.cyclopropane.fatty.acid..CFA..synthase",-0.0674006812542992
"Resource.Acquisition.Substrate.uptake.organophosphorus.compound.transport",0.13582747071589
"Resource.Use.Chemotrophy.chemoorganoheterotrophy.aerobic.respiration.electron.transport.chain..ETC.complex.III",0.176774819800426
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",0.151971262046611
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",-0.00511603463768312
"Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.formaldehyde.oxidation.pathway",-0.0688238399868453
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.galactose.degradation",0.117790335709223
"Resource.Acquisition.Substrate.assimilation.P.compounds.phosphatase",-0.0677421524687076
"Resource.Use.Chemotrophy.chemolithoautotrophy.thiosulfate.oxidation",-0.091578115035026
"Resource.Acquisition.Substrate.uptake.other.transport",-0.0743829251327298
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",0.060991146635573
"Resource.Use.Chemotrophy.chemoorganoheterotrophy.aerobic.respiration.oxidative.pentose.phosphate.pathway",0.0580704996976086
"Resource.Acquisition.Substrate.uptake.osmolyte.transport",0.196211920247283
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport",-0.0404488725431087
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.sugar.acid.degradation.glucuronate.degradation",0.0249686990615627
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.tricarboxylate.transport",0.0708594182868527
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown",0.135955910124699
"Resource.Use.Phototrophy.pigments.core.anoxygenic.bacteriochlorophyll.g",-0.0245389922041014
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",0.0817839929887388
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleoside.transport",0.0768347317522429
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization",0.00203954136353072
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",0.107011023088068
