"","guild","abundance","condition"
"1",1,0.290767844033708,"grassland.ambient"
"2",2,0.17375586096444,"grassland.ambient"
"3",3,0.126477859707118,"grassland.ambient"
"4",4,0.222222723124617,"grassland.ambient"
"5",5,0.173316950250096,"grassland.ambient"
"6",6,0.0134587619200219,"grassland.ambient"
"7",1,0.270779082351412,"grassland.drought"
"8",2,0.224057051268695,"grassland.drought"
"9",3,0.170832136551043,"grassland.drought"
"10",4,0.187774015151385,"grassland.drought"
"11",5,0.146485226453328,"grassland.drought"
"12",6,7.24882241369718e-05,"grassland.drought"
"13",1,0.353121698668401,"shrubland.ambient"
"14",2,0.29079756817706,"shrubland.ambient"
"15",3,0.106365900505205,"shrubland.ambient"
"16",4,0.0985265264000407,"shrubland.ambient"
"17",5,0.145940100894907,"shrubland.ambient"
"18",6,0.00524820535438574,"shrubland.ambient"
"19",1,0.335554330769929,"shrubland.drought"
"20",2,0.159866126460869,"shrubland.drought"
"21",3,0.218011120426305,"shrubland.drought"
"22",4,0.220640804350104,"shrubland.drought"
"23",5,0.06537977870533,"shrubland.drought"
"24",6,0.000547839287463094,"shrubland.drought"
