"","guild","abundance","condition"
"1",1,0.258000382801426,"grassland.ambient"
"2",2,0.208267534309269,"grassland.ambient"
"3",3,0.121418728319084,"grassland.ambient"
"4",4,0.227791215262273,"grassland.ambient"
"5",5,0.173218508476822,"grassland.ambient"
"6",6,0.0113036308311259,"grassland.ambient"
"7",1,0.25714349819829,"grassland.drought"
"8",2,0.252591373296238,"grassland.drought"
"9",3,0.1757719444443,"grassland.drought"
"10",4,0.170190591919065,"grassland.drought"
"11",5,0.141972886465417,"grassland.drought"
"12",6,0.00232970567669097,"grassland.drought"
"13",1,0.379511569953039,"shrubland.ambient"
"14",2,0.293798037872424,"shrubland.ambient"
"15",3,0.1064410578213,"shrubland.ambient"
"16",4,0.0841533208914194,"shrubland.ambient"
"17",5,0.132603677503104,"shrubland.ambient"
"18",6,0.00349233595871291,"shrubland.ambient"
"19",1,0.310334874281531,"shrubland.drought"
"20",2,0.252281632601322,"shrubland.drought"
"21",3,0.150574302897448,"shrubland.drought"
"22",4,0.146295787611983,"shrubland.drought"
"23",5,0.13388116503551,"shrubland.drought"
"24",6,0.00663223757220647,"shrubland.drought"
