"","guild","abundance","condition"
"1",1,0.0251435627183217,"grassland.ambient"
"2",2,0.0142845373673541,"grassland.ambient"
"3",3,0.127887523176742,"grassland.ambient"
"4",4,0.00632057295283282,"grassland.ambient"
"5",5,0.00683484193431972,"grassland.ambient"
"6",6,0.000716192604515049,"grassland.ambient"
"7",7,0.0566419058561785,"grassland.ambient"
"8",8,0.0418438001967264,"grassland.ambient"
"9",9,0.0339848745938101,"grassland.ambient"
"10",10,0.094820397390848,"grassland.ambient"
"11",11,0.0741372562760068,"grassland.ambient"
"12",12,0.00597682535389231,"grassland.ambient"
"13",13,0.0803159661657329,"grassland.ambient"
"14",14,0.0103333441430684,"grassland.ambient"
"15",15,0.0330137265067745,"grassland.ambient"
"16",16,0.000210789010146683,"grassland.ambient"
"17",17,0.0226995408491467,"grassland.ambient"
"18",18,0.0207151049765889,"grassland.ambient"
"19",19,0.0300341105057737,"grassland.ambient"
"20",20,0.0393668051933017,"grassland.ambient"
"21",21,0.0168154155082193,"grassland.ambient"
"22",22,0.00917820646065224,"grassland.ambient"
"23",23,0.0188545072103329,"grassland.ambient"
"24",24,0.00729116312159981,"grassland.ambient"
"25",25,0.0158252377177624,"grassland.ambient"
"26",26,0.0134729600767898,"grassland.ambient"
"27",27,0.010780699139413,"grassland.ambient"
"28",28,0.00657991772155468,"grassland.ambient"
"29",29,0.0182258867903305,"grassland.ambient"
"30",30,0.0869302534629853,"grassland.ambient"
"31",31,0.00954852141985779,"grassland.ambient"
"32",32,0.00832687996211778,"grassland.ambient"
"33",33,0.00843799210083351,"grassland.ambient"
"34",34,0.00415547977107224,"grassland.ambient"
"35",35,0.0027205296192057,"grassland.ambient"
"36",36,0.00857722891592528,"grassland.ambient"
"37",37,0.00335896174787354,"grassland.ambient"
"38",38,0.000279674224215738,"grassland.ambient"
"39",39,0.00236525088649325,"grassland.ambient"
"40",40,0.00307427119657054,"grassland.ambient"
"41",41,0.0167131510645236,"grassland.ambient"
"42",42,0.00313022348664569,"grassland.ambient"
"43",43,7.59106229449512e-05,"grassland.ambient"
"44",1,0.0244720488800426,"grassland.drought"
"45",2,0.0131896060510506,"grassland.drought"
"46",3,0.116765564307686,"grassland.drought"
"47",4,0.0145381061155909,"grassland.drought"
"48",5,0.0193861423437964,"grassland.drought"
"49",6,3.30569536780492e-05,"grassland.drought"
"50",7,0.0398681581619226,"grassland.drought"
"51",8,0.0758055489256122,"grassland.drought"
"52",9,0.0027357602837599,"grassland.drought"
"53",10,0.0610350915996516,"grassland.drought"
"54",11,0.0559256290422588,"grassland.drought"
"55",12,0.000534724921848536,"grassland.drought"
"56",13,0.0556030663994596,"grassland.drought"
"57",14,0.000596781752113318,"grassland.drought"
"58",15,0.0919111652282407,"grassland.drought"
"59",16,2.90130839995779e-05,"grassland.drought"
"60",17,0.0457811989388412,"grassland.drought"
"61",18,0.0291166949526759,"grassland.drought"
"62",19,0.00123297682550499,"grassland.drought"
"63",20,0.021589409358254,"grassland.drought"
"64",21,0.00778372472447376,"grassland.drought"
"65",22,0.000521715219971222,"grassland.drought"
"66",23,0.0180787689621828,"grassland.drought"
"67",24,0.01670201423932,"grassland.drought"
"68",25,0.0191443414296482,"grassland.drought"
"69",26,0.0248120232954429,"grassland.drought"
"70",27,0.0235400673923849,"grassland.drought"
"71",28,0.0237310189666293,"grassland.drought"
"72",29,0.0292794887229586,"grassland.drought"
"73",30,0.0271583486033705,"grassland.drought"
"74",31,0.00191469384872831,"grassland.drought"
"75",32,0.0364031861978982,"grassland.drought"
"76",33,0.00717698258195188,"grassland.drought"
"77",34,0.0152148491470917,"grassland.drought"
"78",35,0.00256348519195278,"grassland.drought"
"79",36,0.0127061531063171,"grassland.drought"
"80",37,0.00618701975145378,"grassland.drought"
"81",38,0.00123103773716451,"grassland.drought"
"82",39,0.00313188581475993,"grassland.drought"
"83",40,0.0125981604939515,"grassland.drought"
"84",41,0.0394878991362208,"grassland.drought"
"85",42,0.000342667526946844,"grassland.drought"
"86",43,0.00014072378319345,"grassland.drought"
"87",1,0.0135897061708935,"shrubland.ambient"
"88",2,0.0172884910404385,"shrubland.ambient"
"89",3,0.129011074888726,"shrubland.ambient"
"90",4,0.0010263689805262,"shrubland.ambient"
"91",5,0.00218372950915152,"shrubland.ambient"
"92",6,0.00134128637353787,"shrubland.ambient"
"93",7,0.021518904108344,"shrubland.ambient"
"94",8,0.0396388982348097,"shrubland.ambient"
"95",9,0.0220259155613916,"shrubland.ambient"
"96",10,0.0348202661022915,"shrubland.ambient"
"97",11,0.0634607735167012,"shrubland.ambient"
"98",12,0.0109448060423035,"shrubland.ambient"
"99",13,0.0374994205551437,"shrubland.ambient"
"100",14,0.0135586539840143,"shrubland.ambient"
"101",15,0.0248200091521309,"shrubland.ambient"
"102",16,0.00061372104759146,"shrubland.ambient"
"103",17,0.0152972527166812,"shrubland.ambient"
"104",18,0.0296305444515521,"shrubland.ambient"
"105",19,0.081573461039264,"shrubland.ambient"
"106",20,0.0762279697315174,"shrubland.ambient"
"107",21,0.0157075646476663,"shrubland.ambient"
"108",22,0.00665022505684718,"shrubland.ambient"
"109",23,0.0429585967884115,"shrubland.ambient"
"110",24,0.031720367386098,"shrubland.ambient"
"111",25,0.00705988902000086,"shrubland.ambient"
"112",26,0.0146911368710468,"shrubland.ambient"
"113",27,0.0110317594043061,"shrubland.ambient"
"114",28,0.00217510284044993,"shrubland.ambient"
"115",29,0.0222252750047236,"shrubland.ambient"
"116",30,0.0772960559769004,"shrubland.ambient"
"117",31,0.00311692282680757,"shrubland.ambient"
"118",32,0.00466553829612164,"shrubland.ambient"
"119",33,0.0110204307750969,"shrubland.ambient"
"120",34,0.00353094963930926,"shrubland.ambient"
"121",35,0.011247764432436,"shrubland.ambient"
