"","genome2guild$guild","mat_trait$`mat_ori$id`","size","grassAmbDry1","grassAmbWet1","grassAmbDry2","grassAmbWet2","Average","grassRedDry1","grassRedWet1","grassRedDry2","grassRedWet2","Average.1","shrubAmbDry1","shrubAmbWet1","shrubAmbDry2","shrubAmbWet2","Average.2","shrubRedDry1","shrubRedWet1","shrubRedDry2","shrubRedWet2","Average.3"
"1","1","grassAmbDry1_bin.1.orig",5124209,3.294105,13.974645,6.814849,3.899776,6.99584375,0.37134,3.178216,3.792191,3.575317,2.729266,1.610632,5.521751,1.884381,3.153208,3.042493,1.218168,1.521184,3.605834,4.867165,2.80308775
"2","2","grassAmbDry1_bin.10.strict",3803326,4.61156,0.966636,0.0148335,0.019015,1.403011125,0.232863,0.062271,0.011102,0,0.076559,0.011026,0.012952,0.005659,0.015077,0.0111785,0.020265,0.003562,0.009967,0.008673,0.01061675
"3","3","grassAmbDry1_bin.11.orig",3237013,3.887554,7.553484,4.599337,1.445309,4.371421,1.356046,4.386683,7.119627,3.353531,4.05397175,2.559392,2.544679,3.501231,1.134145,2.43486175,3.086009,7.641361,6.280827,3.018717,5.0067285
"4","4","grassAmbDry1_bin.12.orig",2828624,26.586181,3.776493,0.850599,0.157947,7.842805,67.578982,15.310125,4.287617,0.376981,21.88842625,0.127106,0.014731,0.039278,0.035316,0.05410775,0.080334,0.025448,0.019555,0.011175,0.034128
"5","5","grassAmbDry1_bin.14.orig",2448232,5.7919,3.367726,1.154403,0.5086,2.70565725,3.456098,3.701057,2.242853,0.874592,2.56865,0.10272,0.009477,0.089202,0.167984,0.09234575,0.155198,0.487228,0.244608,0.253295,0.28508225
"6","6","grassAmbDry1_bin.15.strict",4097949,4.939381,0.657247,0.831391,0.202058,1.65751925,0.955759,0.197695,0.041298,0.402689,0.39936025,6.587721,2.717735,0.20321,0.04112,2.3874465,2.071335,0.529979,0.76803,0.133082,0.8756065
"7","7","grassAmbDry1_bin.16.orig",2706311,36.318855,8.72915,2.78184,1.471746,12.32539775,82.466624,36.533385,19.697255,5.097657,35.94873025,1.242254,0.842854,1.12651,1.041326,1.063236,2.235509,25.712184,5.674794,2.035629,8.914529
"8","7","grassAmbDry1_bin.17.orig",2783667,24.828651,7.894676,1.411708,0.732727,8.7169405,2.434374,1.690207,0.919122,0.940963,1.4961665,0.847383,0.618185,0.762705,0.776814,0.75127175,0.806996,1.689955,0.717127,0.684523,0.97465025
"9","8","grassAmbDry1_bin.18.strict",3005993,4.022231,12.061191,4.397553,2.458349,5.734831,8.504373,23.164338,25.30386,6.744074,15.92916125,0.029087,0.065345,0.089495,0.222685,0.101653,0.123449,0.116782,0.782614,1.174699,0.549386
"10","9","grassAmbDry1_bin.19.orig",4846694,1.911394,3.240481,4.767711,2.964056,3.2209105,0,0.142711,0.321958,1.302146,0.44170375,1.859263,2.021587,1.650522,2.004993,1.88409125,1.104663,0.982808,1.856496,1.992807,1.4841935
"11","10","grassAmbDry1_bin.2.orig",2181245,3.378249,2.348451,0.580948,0.632055,1.73492575,15.748864,9.11092,2.421027,0.968695,7.0623765,0.679367,0.618848,0.721328,0.735895,0.6888595,0.88894,2.035395,0.957604,0.998336,1.22006875
"12","7","grassAmbDry1_bin.20.orig",2210060,22.822516,10.627923,2.041186,1.102972,9.14864925,36.426393,12.10597,7.190446,1.568717,14.3228815,1.472041,1.175982,1.238707,1.037123,1.23096325,2.765332,35.543856,1.695698,1.176047,10.29523325
"13","11","grassAmbDry1_bin.21.orig",2164459,29.708417,9.458197,5.728355,1.761021,11.6639975,4.08005,2.679251,2.040982,2.034261,2.708636,1.297742,0.953033,1.064077,0.748602,1.0158635,1.24209,6.611227,1.61661,1.442066,2.72799825
"14","7","grassAmbDry1_bin.3.orig",2927666,16.244261,5.834044,5.505295,2.451869,7.50886725,1.85336,0.701665,1.18943,1.894971,1.4098565,2.53748,1.375056,1.884876,1.415856,1.803317,1.534718,2.261103,1.787932,2.076182,1.91498375
"15","12","grassAmbDry1_bin.4.orig",3980364,2.141566,2.224726,1.580056,1.404749,1.83777425,0.185854,0.061833,0.092128,0.497941,0.209439,0.736874,0.724497,0.776146,0.877848,0.77884125,1.235221,1.443224,0.657242,0.926397,1.065521
"16","13","grassAmbDry1_bin.5.orig",2673679,5.600987,24.83504,13.367918,10.094854,13.47469975,0.510016,2.459404,2.767088,4.312592,2.512275,3.416135,7.996195,4.340665,4.772732,5.13143175,2.048864,2.982049,3.724647,4.361676,3.279309
"17","14","grassAmbDry1_bin.6.orig",4630132,3.280861,4.232715,3.174726,0.908752,2.8992635,0.127688,0.234355,0.196394,0.50187,0.26507675,4.484204,5.232638,1.133572,0.503149,2.83839075,5.207374,2.234586,1.501312,1.722558,2.6664575
"18","15","grassAmbDry1_bin.7.permissive",2665156,1.6035205,1.3164575,1.4274985,6.672955,2.755107875,0,0,0,0.489619,0.12240475,0.2592915,0.367569,0.54428,2.3680915,0.884808,0.304359,0,0.276301,0.956694,0.3843385
"19","4","grassAmbDry1_bin.8.orig",2574775,3.658695,5.258728,5.407931,3.651619,4.49424325,1.098473,1.871586,3.605437,3.843428,2.604731,0.687909,0.798458,0.981598,0.825079,0.823261,0.739516,1.780944,2.208739,1.928739,1.6644845
"20","16","grassAmbDry1_bin.9.strict",2315610,3.060303,0.059493,0.009117,0,0.78222825,0.049379,0,0,0,0.01234475,0.895354,0.52622,0.354572,0.103405,0.46988775,3.806711,0.77671,0.84973,0.1367935,1.392486125
"21","3","grassAmbDry2_bin.1.orig",2518762,1.381637,13.573631,19.2904,12.83003,11.7689245,0.729495,5.3129,11.155833,20.83919,9.5093545,2.112322,6.503942,8.424196,8.502641,6.38577525,2.819276,4.524095,13.866061,13.436881,8.66157825
"22","2","grassAmbDry2_bin.10.orig",3208303,0.4272775,2.468908,2.650249,1.393559,1.734998375,0.089721,0.629771,0.981223,1.711637,0.853088,0.63769,1.740707,0.987995,1.1041725,1.117641125,1.041613,0.563056,0.954837,1.097643,0.91428725
"23","3","grassAmbDry2_bin.13.orig",2580551,1.271317,7.479507,15.674576,5.160428,7.396457,0.421936,0.805634,2.537599,3.658442,1.85590275,1.879522,3.322357,9.706683,2.056153,4.24117875,2.011493,6.677007,10.911799,4.394574,5.99871825
"24","11","grassAmbDry2_bin.14.orig",2221501,11.6690265,10.297008,23.159096,8.74182,13.46673763,0.558299,0.691435,4.009178,7.082288,3.0853,6.150386,5.381398,10.1354715,6.634204,7.075364875,2.943912,6.646931,13.748443,10.383358,8.430661
"25","13","grassAmbDry2_bin.15.orig",3149176,1.320601,2.795002,11.749328,21.476604,9.33538375,0.134014,0.383399,0.599632,2.056132,0.79329425,4.803643,3.708507,5.226037,8.193649,5.482959,3.954605,2.121481,3.653342,7.645065,4.34362325
"26","8","grassAmbDry2_bin.16.orig",3396820,0.091724,0.62275,4.185928,1.586487,1.62172225,0.002865,0.039108,0.336637,1.072025,0.36265875,0.066043,0.197636,1.072702,0.321181,0.4143905,0.346578,0.337822,4.654135,2.536217,1.968688
"27","7","grassAmbDry2_bin.17.orig",2535826,7.949283,2.682399,3.350531,1.279923,3.815534,1.200056,0.326106,0.692026,0.8805115,0.774674875,1.359428,0.655496,1.212702,0.914411,1.03550925,0.812406,1.214328,0.942299,1.122972,1.02300125
"28","17","grassAmbDry2_bin.19.orig",2448508,0.919956,2.244266,10.650678,8.325816,5.535179,0.418593,1.268052,1.458586,2.210536,1.33894175,6.132084,10.660928,5.241345,8.368131,7.600622,2.084313,2.257232,3.751342,6.402476,3.62384075
"29","18","grassAmbDry2_bin.2.orig",3939262,0.567143,0.552925,2.111856,4.382467,1.90359775,0,0.046193,0.074515,0.743773,0.21612025,1.163644,1.375245,2.000411,3.128859,1.91703975,2.238827,0.794303,1.438982,4.413347,2.22136475
"30","3","grassAmbDry2_bin.20.orig",3240006,1.02551,3.797279,5.385734,2.874248,3.27069275,0.0644185,0.325989,0.445289,1.136769,0.493116375,1.853882,2.41707,2.227979,1.976719,2.1189125,0.988071,1.164643,1.714029,3.978539,1.9613205
"31","7","grassAmbDry2_bin.21.orig",1873789,20.476815,10.155348,7.436444,2.069045,10.034413,2.7230475,1.783701,1.692525,1.737973,1.984311625,0.958293,0.777862,0.833279,0.547224,0.7791645,1.014105,4.89936,1.536023,1.345532,2.198755
"32","19","grassAmbDry2_bin.22.orig",2546719,2.416895,2.863944,15.716471,20.660512,10.4144555,0.083888,0.148235,0.227596,1.286978,0.43667425,6.313165,2.942682,4.119295,5.13427,4.627353,3.199997,2.244343,1.757856,3.065875,2.56701775
"33","8","grassAmbDry2_bin.23.orig",2416455,0.151034,0.880473,2.144621,1.715254,1.2228455,0,0,0,0.056213,0.01405325,0.049118,0.614688,0.203182,0.280183,0.28679275,0.073223,0,0.179835,0.240817,0.12346875
"34","20","grassAmbDry2_bin.24.orig",2987859,2.1502075,2.328357,8.156246,15.7271,7.090477625,0.337705,0.905653,1.74356,7.751127,2.68451125,13.8319915,5.7105195,17.429267,13.9448375,12.72915388,18.3996905,10.277831,8.2530715,9.5902875,11.63022013
"35","21","grassAmbDry2_bin.25.strict",3169615,0.565344,1.560995,2.783376,13.097546,4.50181525,0,0.048497,0.030686,0.642836,0.18050475,0.117356,0.23117,0.310659,2.413825,0.7682525,0.075074,0,0.206489,1.371211,0.4131935
"36","20","grassAmbDry2_bin.26.orig",3409630,0.337967,0.410176,1.962933,1.110468,0.955386,0,0,0,0.044344,0.011086,2.446319,2.225748,2.064139,2.215441,2.23791175,0.910085,0.917281,0.521951,0.700956,0.76256825
"37","1","grassAmbDry2_bin.27.orig",5204765,1.593295,11.081005,6.103765,2.985816,5.44097025,0.178405,1.790144,2.128225,2.004465,1.52530975,0.911733,3.182251,1.146847,1.922241,1.790768,0.711506,0.810528,2.037409,2.755641,1.578771
"38","13","grassAmbDry2_bin.28.orig",3024740,0.979251,4.921247,5.47851,3.002262,3.5953175,1.389308,3.766626,4.019797,5.332752,3.62712075,0.455848,0.88242,0.80185,1.013433,0.78838775,0.687916,1.870317,1.768089,2.736283,1.76565125
"39","21","grassAmbDry2_bin.29.permissive",3847310,0.03182,0.055104,2.342364,2.058453,1.12193525,0,0,0,0,0,0.224573,0.4114,0.727536,1.116918,0.62010675,0,0,0.100351,0.263208,0.09088975
"40","22","grassAmbDry2_bin.3.orig",2688382,0.152694,0.654061,4.356806,8.320686,3.37106175,0.015168,0.069051,0.178098,2.005773,0.5670225,1.048335,1.452599,1.821978,1.785393,1.52707625,3.855441,1.182474,2.884831,3.08693,2.752419
"41","15","grassAmbDry2_bin.30.strict",4359309,0.149476,2.19552,5.368989,2.969306,2.67082275,0,0.007903,0.052155,0.448402,0.127115,0.129487,0.803502,0.688277,0.899469,0.63018375,0.184305,0.071077,0.781787,1.204488,0.56041425
"42","14","grassAmbDry2_bin.31.orig",4789630,1.312429,4.731403,5.464159,1.154324,3.16557875,0.105455,0.209403,0.181812,0.454094,0.237691,3.664176,4.974694,1.033801,0.481079,2.5384375,4.446688,1.999044,1.310431,1.489339,2.3113755
"43","12","grassAmbDry2_bin.32.orig",4143743,1.167909,2.393475,2.440846,1.570404,1.8931585,0.214838,0.056142,0.089064,0.511255,0.21782475,0.724482,0.802489,0.821223,0.952853,0.82526175,1.403911,1.60525,0.753614,0.983631,1.1866015
"44","23","grassAmbDry2_bin.34.orig",2347420,1.33551,2.042308,4.511014,7.644609,3.88336025,0.2228185,0.937263,2.719709,7.482071,2.840465375,3.493696,2.040863,5.6266645,5.1450415,4.07656625,4.716405,3.292705,3.029454,5.874302,4.2282165
"45","24","grassAmbDry2_bin.35.orig",3004633,0.637542,1.311048,1.71602,0.866527,1.13278425,0.641828,1.164301,1.334271,2.300827,1.36030675,0.397341,0.5495365,1.10357,0.588023,0.659617625,1.128587,1.996623,0.7950495,0.739491,1.164937625
