"","best.predictors[[""predictors""]]"
"1","Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system"
"2","Resource.Acquisition.Substrate.uptake.carboxylate.transport.monocarboxylate.transport"
"3","Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport"
"4","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown"
"5","Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins"
"6","Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.PHB.cycle"
"7","Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport"
"8","Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.formaldehyde.assimilation.with.RuMP.pathway"
"9","Resource.Use.Phototrophy.pigments.core.anoxygenic.bacteriochlorophyll.g"
"10","Resource.Acquisition.Substrate.uptake.lipid.transport.cell.membrane.lipid.transport"
"11","Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport"
"12","Resource.Use.Phototrophy.pigments.accessory.carotenoid.carotene.gammacarotene"
"13","Resource.Use.Phototrophy.pigments.accessory.carotenoid.carotene.neurosporene"
"14","Resource.Acquisition.Substrate.assimilation.N.compounds.ammonia.assimilation.to.aspartate"
"15","Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport"
"16","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.trehalose.degradation"
"17","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.mannose.degradation"
"18","Resource.Use.Chemotrophy.chemolithoautotrophy.sulfide.oxidation"
"19","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown"
"20","Resource.Acquisition.Substrate.uptake.carboxylate.transport.tricarboxylate.transport"
"21","Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization"
"22","Resource.Acquisition.Substrate.uptake.lipid.transport.lipid.precursor.transport"
"23","Resource.Acquisition.Substrate.uptake.carbohydrate.transport.sugar.alcohol.transport"
"24","Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.B.transport"
"25","Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleotide.transport"
"26","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.maltose.degradation"
"27","Resource.Use.Chemotrophy.chemoorganoheterotrophy.aerobic.respiration.electron.transport.chain..ETC.complex.II"
"28","Resource.Acquisition.Substrate.assimilation.C1.compounds.methanotrophy.formaldehyde.assimilation.with.serine.pathway"
"29","Resource.Use.Chemotrophy.chemoorganoheterotrophy.fermentation.of.pyruvate.to.lactate.and.ethanol"
"30","Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.osmotic.sensing.two.component.systems..osmotic.sensors.salt.potassium.sensors"
"31","Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases"
"32","Resource.Acquisition.Substrate.assimilation.N.compounds.ammonia.assimilation.to.glutamine"
"33","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.alcohol.degradation.glycerol.degradation"
"34","Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export"
"35","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.carbohydrate.degradation.galactose.degradation"
"36","Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport"
"37","Resource.Use.Phototrophy.photosystem.anoxygenic.anoxygenic.photosystem.II"
"38","Resource.Use.Phototrophy.pigments.core.chlorophyll.a"
"39","Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems"
