id	length
grassAmbDry1_bin.1.orig	5124209
grassAmbDry1_bin.10.strict	3803326
grassAmbDry1_bin.11.orig	3237013
grassAmbDry1_bin.12.orig	2828624
grassAmbDry1_bin.14.orig	2448232
grassAmbDry1_bin.15.strict	4097949
grassAmbDry1_bin.16.orig	2706311
grassAmbDry1_bin.17.orig	2783667
grassAmbDry1_bin.18.strict	3005993
grassAmbDry1_bin.19.orig	4846694
grassAmbDry1_bin.2.orig	2181245
grassAmbDry1_bin.20.orig	2210060
grassAmbDry1_bin.21.orig	2164459
grassAmbDry1_bin.3.orig	2927666
grassAmbDry1_bin.4.orig	3980364
grassAmbDry1_bin.5.orig	2673679
grassAmbDry1_bin.6.orig	4630132
grassAmbDry1_bin.7.permissive	2665156
grassAmbDry1_bin.8.orig	2574775
grassAmbDry1_bin.9.strict	2315610
grassAmbDry2_bin.1.orig	2518762
grassAmbDry2_bin.10.orig	3208303
grassAmbDry2_bin.13.orig	2580551
grassAmbDry2_bin.14.orig	2221501
grassAmbDry2_bin.15.orig	3149176
grassAmbDry2_bin.16.orig	3396820
grassAmbDry2_bin.17.orig	2535826
grassAmbDry2_bin.19.orig	2448508
grassAmbDry2_bin.2.orig	3939262
grassAmbDry2_bin.20.orig	3240006
grassAmbDry2_bin.21.orig	1873789
grassAmbDry2_bin.22.orig	2546719
grassAmbDry2_bin.23.orig	2416455
grassAmbDry2_bin.24.orig	2987859
grassAmbDry2_bin.25.strict	3169615
grassAmbDry2_bin.26.orig	3409630
grassAmbDry2_bin.27.orig	5204765
grassAmbDry2_bin.28.orig	3024740
grassAmbDry2_bin.29.permissive	3847310
grassAmbDry2_bin.3.orig	2688382
grassAmbDry2_bin.30.strict	4359309
grassAmbDry2_bin.31.orig	4789630
grassAmbDry2_bin.32.orig	4143743
grassAmbDry2_bin.34.orig	2347420
grassAmbDry2_bin.35.orig	3004633
grassAmbDry2_bin.36.orig	2152338
grassAmbDry2_bin.37.orig	1627744
grassAmbDry2_bin.38.orig	8190640
grassAmbDry2_bin.39.orig	5173563
grassAmbDry2_bin.4.orig	4889214
grassAmbDry2_bin.40.orig	3171039
grassAmbDry2_bin.5.orig	3018690
grassAmbDry2_bin.6.orig	2089584
grassAmbDry2_bin.7.orig	3220472
grassAmbDry2_bin.8.orig	1049391
grassAmbDry2_bin.9.strict	2851570
grassAmbWet1_bin.1.strict	5806075
grassAmbWet1_bin.10.orig	1931119
grassAmbWet1_bin.11.orig	2303227
grassAmbWet1_bin.12.strict	6367739
grassAmbWet1_bin.13.orig	3532275
grassAmbWet1_bin.14.orig	2952704
grassAmbWet1_bin.15.orig	3828328
grassAmbWet1_bin.16.orig	2394242
grassAmbWet1_bin.17.orig	4796518
grassAmbWet1_bin.18.strict	3333328
grassAmbWet1_bin.19.orig	5328666
grassAmbWet1_bin.2.orig	1478495
grassAmbWet1_bin.20.orig	2866659
grassAmbWet1_bin.21.strict	5269091
grassAmbWet1_bin.22.orig	3025001
grassAmbWet1_bin.23.orig	4102138
grassAmbWet1_bin.24.orig	5012640
grassAmbWet1_bin.25.orig	5098264
grassAmbWet1_bin.26.orig	4177423
grassAmbWet1_bin.27.orig	3286299
grassAmbWet1_bin.28.orig	1524749
grassAmbWet1_bin.29.orig	2862502
grassAmbWet1_bin.3.orig	3768633
grassAmbWet1_bin.30.orig	2898672
grassAmbWet1_bin.31.strict	831654
grassAmbWet1_bin.32.strict	2983779
grassAmbWet1_bin.33.orig	4333769
grassAmbWet1_bin.34.orig	2350728
grassAmbWet1_bin.35.orig	4768503
grassAmbWet1_bin.36.orig	3370926
grassAmbWet1_bin.37.orig	2738421
grassAmbWet1_bin.38.orig	1640501
grassAmbWet1_bin.39.orig	2673533
grassAmbWet1_bin.4.orig	2848871
grassAmbWet1_bin.41.strict	2122906
grassAmbWet1_bin.42.strict	1905426
grassAmbWet1_bin.43.orig	3715617
grassAmbWet1_bin.44.orig	2387676
grassAmbWet1_bin.45.orig	4751227
grassAmbWet1_bin.46.orig	2068578
grassAmbWet1_bin.47.orig	2114855
grassAmbWet1_bin.48.orig	6298668
grassAmbWet1_bin.49.orig	3680981
grassAmbWet1_bin.5.orig	3106922
grassAmbWet1_bin.50.orig	2550222
grassAmbWet1_bin.51.orig	2707750
grassAmbWet1_bin.52.orig	2189640
grassAmbWet1_bin.53.orig	2647447
grassAmbWet1_bin.54.orig	2093767
grassAmbWet1_bin.55.strict	4348602
grassAmbWet1_bin.6.permissive	2507845
grassAmbWet1_bin.7.strict	3938224
grassAmbWet1_bin.8.orig	3243733
grassAmbWet1_bin.9.orig	3340784
grassAmbWet2_bin.1.orig	1678726
grassAmbWet2_bin.10.orig	3758421
grassAmbWet2_bin.11.orig	2876533
grassAmbWet2_bin.12.orig	3210905
grassAmbWet2_bin.13.orig	3047600
grassAmbWet2_bin.14.orig	29056320
grassAmbWet2_bin.15.strict	5288539
grassAmbWet2_bin.16.strict	5056646
grassAmbWet2_bin.17.orig	4574869
grassAmbWet2_bin.18.orig	2952736
grassAmbWet2_bin.20.orig	7975310
grassAmbWet2_bin.21.orig	3351086
grassAmbWet2_bin.22.orig	2371520
grassAmbWet2_bin.23.strict	2092619
grassAmbWet2_bin.24.orig	5033171
grassAmbWet2_bin.25.orig	844678
grassAmbWet2_bin.26.orig	2138687
grassAmbWet2_bin.27.strict	2219619
grassAmbWet2_bin.29.orig	4280101
grassAmbWet2_bin.3.strict	5292958
grassAmbWet2_bin.31.orig	2972789
grassAmbWet2_bin.32.orig	3843076
grassAmbWet2_bin.33.orig	3997345
grassAmbWet2_bin.34.orig	2368845
grassAmbWet2_bin.35.strict	5796847
grassAmbWet2_bin.36.orig	2622090
grassAmbWet2_bin.37.orig	5441303
grassAmbWet2_bin.39.orig	2158994
grassAmbWet2_bin.4.orig	5132567
grassAmbWet2_bin.40.orig	3324554
grassAmbWet2_bin.41.orig	3097452
grassAmbWet2_bin.42.orig	4272397
grassAmbWet2_bin.44.orig	553158
grassAmbWet2_bin.45.orig	4879912
grassAmbWet2_bin.46.orig	2786676
grassAmbWet2_bin.47.orig	4375271
grassAmbWet2_bin.49.orig	2452078
grassAmbWet2_bin.5.orig	5154316
grassAmbWet2_bin.50.strict	4160694
grassAmbWet2_bin.51.orig	6892599
grassAmbWet2_bin.52.orig	6255063
grassAmbWet2_bin.53.orig	3977022
grassAmbWet2_bin.54.orig	2590563
grassAmbWet2_bin.55.orig	3336872
grassAmbWet2_bin.57.orig	3614296
grassAmbWet2_bin.59.orig	3036929
grassAmbWet2_bin.6.orig	5816711
grassAmbWet2_bin.60.orig	3777459
grassAmbWet2_bin.61.strict	2914606
grassAmbWet2_bin.7.orig	3335355
grassAmbWet2_bin.8.orig	4261624
grassAmbWet2_bin.9.orig	3455789
grassRedDry1_bin.1.orig	2402276
grassRedDry1_bin.10.orig	2887973
grassRedDry1_bin.11.orig	4509783
grassRedDry1_bin.12.orig	2575162
grassRedDry1_bin.13.permissive	3456815
grassRedDry1_bin.14.orig	2802763
grassRedDry1_bin.15.orig	2750030
grassRedDry1_bin.16.orig	2640867
grassRedDry1_bin.17.orig	3866439
grassRedDry1_bin.18.strict	3113749
grassRedDry1_bin.19.strict	2708604
grassRedDry1_bin.20.orig	4223083
grassRedDry1_bin.21.orig	29295733
grassRedDry1_bin.22.orig	4491089
grassRedDry1_bin.23.orig	3131180
grassRedDry1_bin.24.orig	2764528
grassRedDry1_bin.25.strict	3509161
grassRedDry1_bin.26.strict	2056525
grassRedDry1_bin.27.orig	1457699
grassRedDry1_bin.28.orig	3658073
grassRedDry1_bin.29.orig	1788999
grassRedDry1_bin.3.orig	1683965
grassRedDry1_bin.30.strict	3886243
grassRedDry1_bin.31.orig	4282162
grassRedDry1_bin.32.orig	4154253
grassRedDry1_bin.33.permissive	2284031
grassRedDry1_bin.34.strict	2257339
grassRedDry1_bin.35.orig	3922956
grassRedDry1_bin.36.orig	1357615
grassRedDry1_bin.37.orig	2017427
grassRedDry1_bin.39.orig	3617662
grassRedDry1_bin.4.orig	2173193
grassRedDry1_bin.41.orig	3596637
grassRedDry1_bin.42.orig	1791508
grassRedDry1_bin.44.orig	2197378
grassRedDry1_bin.45.orig	2302810
grassRedDry1_bin.46.orig	2537157
grassRedDry1_bin.47.permissive	3646773
grassRedDry1_bin.48.orig	5450570
grassRedDry1_bin.49.orig	2363112
grassRedDry1_bin.5.orig	3141052
grassRedDry1_bin.50.orig	3142164
grassRedDry1_bin.51.orig	2634893
grassRedDry1_bin.52.orig	2793530
grassRedDry1_bin.53.orig	3349944
grassRedDry1_bin.54.permissive	2418980
grassRedDry1_bin.6.orig	2252680
grassRedDry1_bin.7.orig	2431278
grassRedDry1_bin.8.orig	3300788
grassRedDry1_bin.9.orig	2240611
grassRedDry2_bin.1.orig	3732520
grassRedDry2_bin.10.orig	3166356
grassRedDry2_bin.11.strict	5292016
grassRedDry2_bin.12.orig	1594602
grassRedDry2_bin.13.orig	3570051
grassRedDry2_bin.14.strict	3598471
grassRedDry2_bin.15.orig	5741259
grassRedDry2_bin.16.orig	2916756
grassRedDry2_bin.17.strict	1918215
grassRedDry2_bin.18.orig	1746649
grassRedDry2_bin.19.orig	3181351
grassRedDry2_bin.2.orig	3343179
grassRedDry2_bin.20.orig	2450167
grassRedDry2_bin.21.orig	2854892
grassRedDry2_bin.22.orig	4843764
grassRedDry2_bin.23.orig	2796301
grassRedDry2_bin.24.orig	2458914
grassRedDry2_bin.25.orig	3366769
grassRedDry2_bin.26.orig	1764123
grassRedDry2_bin.27.orig	1754579
grassRedDry2_bin.28.orig	3091261
grassRedDry2_bin.29.orig	3846340
grassRedDry2_bin.3.orig	3756299
grassRedDry2_bin.30.orig	2069921
grassRedDry2_bin.31.orig	2421079
grassRedDry2_bin.32.orig	5566908
grassRedDry2_bin.33.orig	4960236
grassRedDry2_bin.34.orig	2735464
grassRedDry2_bin.35.orig	4548556
grassRedDry2_bin.36.orig	2739552
grassRedDry2_bin.37.orig	4024104
grassRedDry2_bin.38.orig	2330558
grassRedDry2_bin.39.orig	2838338
grassRedDry2_bin.4.orig	4534884
grassRedDry2_bin.41.orig	2261777
grassRedDry2_bin.42.orig	3552820
grassRedDry2_bin.43.orig	4335375
grassRedDry2_bin.44.strict	3927663
grassRedDry2_bin.45.orig	4157950
grassRedDry2_bin.46.strict	2017657
grassRedDry2_bin.47.orig	4170777
grassRedDry2_bin.48.orig	4373036
grassRedDry2_bin.49.strict	4014496
grassRedDry2_bin.5.orig	2380069
grassRedDry2_bin.50.orig	3038644
grassRedDry2_bin.51.strict	4053305
grassRedDry2_bin.52.orig	1325134
grassRedDry2_bin.53.strict	1662407
grassRedDry2_bin.55.orig	4692350
grassRedDry2_bin.6.orig	3560778
grassRedDry2_bin.7.orig	3958295
grassRedDry2_bin.8.strict	1681361
grassRedDry2_bin.9.permissive	2252055
grassRedWet1_bin.1.orig	4218878
grassRedWet1_bin.10.orig	2175209
grassRedWet1_bin.11.orig	2462489
grassRedWet1_bin.12.orig	2610009
grassRedWet1_bin.13.orig	2374869
grassRedWet1_bin.14.orig	2112193
grassRedWet1_bin.15.orig	2872857
grassRedWet1_bin.16.orig	3843789
grassRedWet1_bin.17.orig	3680642
grassRedWet1_bin.18.orig	4543379
grassRedWet1_bin.19.orig	2918674
grassRedWet1_bin.2.permissive	1918488
grassRedWet1_bin.20.orig	2185762
grassRedWet1_bin.22.orig	2861226
grassRedWet1_bin.23.orig	2147307
grassRedWet1_bin.24.orig	2657324
grassRedWet1_bin.25.orig	1466886
grassRedWet1_bin.26.orig	2769377
grassRedWet1_bin.27.orig	2136577
grassRedWet1_bin.28.strict	2597367
grassRedWet1_bin.29.orig	3411325
grassRedWet1_bin.3.orig	2765628
grassRedWet1_bin.30.orig	3557653
grassRedWet1_bin.31.strict	3323345
grassRedWet1_bin.32.orig	3150125
grassRedWet1_bin.33.orig	3298779
grassRedWet1_bin.34.orig	4196596
grassRedWet1_bin.35.orig	1919396
grassRedWet1_bin.37.orig	3728304
grassRedWet1_bin.38.orig	4707033
grassRedWet1_bin.39.orig	3922153
grassRedWet1_bin.4.orig	3170024
grassRedWet1_bin.40.permissive	3302597
grassRedWet1_bin.41.strict	3338567
grassRedWet1_bin.42.orig	2623161
grassRedWet1_bin.43.orig	2949429
grassRedWet1_bin.44.orig	3662207
grassRedWet1_bin.45.orig	2184835
grassRedWet1_bin.47.orig	2742949
grassRedWet1_bin.48.orig	2125612
grassRedWet1_bin.49.strict	3741022
grassRedWet1_bin.5.orig	3245551
grassRedWet1_bin.50.orig	2710186
grassRedWet1_bin.51.orig	3319926
grassRedWet1_bin.52.orig	1651462
grassRedWet1_bin.53.orig	3656790
grassRedWet1_bin.54.orig	3764211
grassRedWet1_bin.55.orig	1378398
grassRedWet1_bin.56.orig	1549050
grassRedWet1_bin.57.orig	2243451
grassRedWet1_bin.58.permissive	1925437
grassRedWet1_bin.59.orig	3073056
grassRedWet1_bin.6.orig	1493580
grassRedWet1_bin.7.orig	2924688
grassRedWet1_bin.8.orig	2656027
grassRedWet1_bin.9.orig	4251528
grassRedWet2_bin.1.orig	2573512
grassRedWet2_bin.10.orig	2589939
grassRedWet2_bin.11.orig	3922781
grassRedWet2_bin.12.permissive	4729521
grassRedWet2_bin.13.orig	3170074
grassRedWet2_bin.14.orig	3367750
grassRedWet2_bin.15.permissive	752475
grassRedWet2_bin.17.orig	2205607
grassRedWet2_bin.18.orig	3636574
grassRedWet2_bin.19.strict	681005
grassRedWet2_bin.20.strict	5172578
grassRedWet2_bin.21.permissive	4301537
grassRedWet2_bin.22.orig	6363782
grassRedWet2_bin.23.orig	4799376
grassRedWet2_bin.25.orig	3299857
grassRedWet2_bin.26.permissive	4616484
grassRedWet2_bin.27.orig	2063315
grassRedWet2_bin.28.orig	3449068
grassRedWet2_bin.29.orig	2776491
grassRedWet2_bin.3.orig	5451442
grassRedWet2_bin.30.orig	3120706
grassRedWet2_bin.31.strict	5366386
grassRedWet2_bin.32.orig	2051055
grassRedWet2_bin.33.permissive	1343591
grassRedWet2_bin.34.orig	2837745
grassRedWet2_bin.35.orig	2569915
grassRedWet2_bin.36.orig	2767536
grassRedWet2_bin.37.strict	3020249
grassRedWet2_bin.4.orig	5021545
grassRedWet2_bin.40.orig	3529641
grassRedWet2_bin.5.orig	4829644
grassRedWet2_bin.6.orig	2628875
grassRedWet2_bin.7.strict	4861548
grassRedWet2_bin.8.orig	1998945
grassRedWet2_bin.9.orig	3205835
shrubAmbDry1_bin.1.orig	4496486
shrubAmbDry1_bin.10.orig	4121597
shrubAmbDry1_bin.11.orig	2928057
shrubAmbDry1_bin.12.orig	1931306
shrubAmbDry1_bin.15.orig	9467569
shrubAmbDry1_bin.16.orig	5261414
shrubAmbDry1_bin.17.orig	2303867
shrubAmbDry1_bin.2.orig	6675928
shrubAmbDry1_bin.3.orig	4098058
shrubAmbDry1_bin.4.orig	2242227
shrubAmbDry1_bin.5.orig	3944147
shrubAmbDry1_bin.6.orig	4470855
shrubAmbDry1_bin.7.orig	3410089
shrubAmbDry1_bin.8.orig	1821341
shrubAmbDry1_bin.9.strict	3329598
shrubAmbDry2_bin.1.orig	2464871
shrubAmbDry2_bin.10.orig	3027608
shrubAmbDry2_bin.11.orig	2631617
shrubAmbDry2_bin.12.strict	4476170
shrubAmbDry2_bin.13.orig	2323310
shrubAmbDry2_bin.14.orig	3145769
shrubAmbDry2_bin.15.orig	2272784
shrubAmbDry2_bin.16.orig	1414018
shrubAmbDry2_bin.17.orig	2111170
shrubAmbDry2_bin.2.orig	1877757
shrubAmbDry2_bin.3.orig	5606907
shrubAmbDry2_bin.4.orig	4588569
shrubAmbDry2_bin.5.orig	3572129
shrubAmbDry2_bin.6.orig	9296440
shrubAmbDry2_bin.7.orig	2378533
shrubAmbDry2_bin.8.orig	2540149
shrubAmbDry2_bin.9.orig	4723217
shrubAmbWet1_bin.1.strict	1623204
shrubAmbWet1_bin.10.orig	4938320
shrubAmbWet1_bin.11.orig	3832488
shrubAmbWet1_bin.12.strict	3823721
shrubAmbWet1_bin.13.orig	2219853
shrubAmbWet1_bin.14.orig	2512859
shrubAmbWet1_bin.15.orig	2571813
shrubAmbWet1_bin.16.orig	3600546
shrubAmbWet1_bin.17.orig	3753475
shrubAmbWet1_bin.18.orig	2143021
shrubAmbWet1_bin.19.orig	4430816
shrubAmbWet1_bin.2.orig	7804833
shrubAmbWet1_bin.20.strict	4087809
shrubAmbWet1_bin.21.orig	2938835
shrubAmbWet1_bin.22.orig	1759685
shrubAmbWet1_bin.3.orig	4892723
shrubAmbWet1_bin.4.permissive	2786109
shrubAmbWet1_bin.5.orig	3832970
shrubAmbWet1_bin.6.strict	2579225
shrubAmbWet1_bin.7.orig	2223111
shrubAmbWet1_bin.8.orig	5560098
shrubAmbWet1_bin.9.strict	5204653
shrubAmbWet2_bin.1.orig	4648614
shrubAmbWet2_bin.10.strict	4632668
shrubAmbWet2_bin.11.orig	4629282
shrubAmbWet2_bin.12.orig	2770218
shrubAmbWet2_bin.13.orig	8072687
shrubAmbWet2_bin.14.orig	2725842
shrubAmbWet2_bin.15.orig	2271496
shrubAmbWet2_bin.16.orig	2561233
shrubAmbWet2_bin.17.strict	4271916
shrubAmbWet2_bin.18.strict	4262175
shrubAmbWet2_bin.19.orig	2162246
