"","mat_ori$id","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation"
"1","grassAmbDry1_bin.1.orig",7.80608285103125e-07,7.80608285103125e-07,1.95152071275781e-07,3.90304142551563e-07,1.95152071275781e-06,1.17091242765469e-06,4.48849763934297e-06
"2","grassAmbDry1_bin.10.strict",5.25855527504085e-07,5.25855527504085e-07,0,0,7.88783291256127e-07,7.88783291256127e-07,7.36197738505718e-06
"3","grassAmbDry1_bin.11.orig",9.26780337304793e-07,6.17853558203195e-07,3.08926779101598e-07,3.08926779101598e-07,2.16248745371118e-06,9.26780337304793e-07,7.41424269843834e-06
"4","grassAmbDry1_bin.12.orig",1.06058634869817e-06,1.06058634869817e-06,3.53528782899389e-07,3.53528782899389e-07,1.76764391449694e-06,3.53528782899389e-07,7.77763322378655e-06
"5","grassAmbDry1_bin.14.orig",1.63383208780867e-06,1.2253740658565e-06,4.08458021952168e-07,8.16916043904336e-07,3.67612219756951e-06,8.16916043904336e-07,7.76070241709119e-06
"6","grassAmbDry1_bin.15.strict",7.32073532393888e-07,7.32073532393888e-07,2.44024510797963e-07,4.88049021595925e-07,1.46414706478778e-06,2.44024510797963e-07,1.19572010291002e-05
"7","grassAmbDry1_bin.16.orig",7.3901336542622e-07,1.10852004813933e-06,3.6950668271311e-07,3.6950668271311e-07,1.47802673085244e-06,3.6950668271311e-07,7.3901336542622e-06
"8","grassAmbDry1_bin.17.orig",1.07771511463117e-06,1.07771511463117e-06,3.59238371543723e-07,3.59238371543723e-07,2.51466860080606e-06,7.18476743087445e-07,6.46629068778701e-06
"9","grassAmbDry1_bin.18.strict",1.33067508806574e-06,1.33067508806574e-06,6.6533754403287e-07,9.98006316049305e-07,2.99401894814792e-06,9.98006316049305e-07,7.98405052839444e-06
"10","grassAmbDry1_bin.19.orig",4.12652418328865e-07,4.12652418328865e-07,2.06326209164433e-07,4.12652418328865e-07,1.03163104582216e-06,4.12652418328865e-07,5.77713385660411e-06
"11","grassAmbDry1_bin.2.orig",1.83381509183975e-06,4.58453772959938e-07,4.58453772959938e-07,4.58453772959938e-07,3.6676301836795e-06,9.16907545919876e-07,7.79371414031895e-06
"12","grassAmbDry1_bin.20.orig",1.35742921006669e-06,4.52476403355565e-07,4.52476403355565e-07,1.35742921006669e-06,1.80990561342226e-06,1.80990561342226e-06,7.69209885704461e-06
"13","grassAmbDry1_bin.21.orig",1.3860276401632e-06,1.3860276401632e-06,9.24018426775467e-07,1.3860276401632e-06,2.7720552803264e-06,9.24018426775467e-07,7.85415662759147e-06
"14","grassAmbDry1_bin.3.orig",1.3662760711092e-06,1.0247070533319e-06,1.0247070533319e-06,1.3662760711092e-06,2.73255214221841e-06,1.0247070533319e-06,5.46510428443682e-06
"15","grassAmbDry1_bin.4.orig",1.25616652145382e-06,7.5369991287229e-07,2.51233304290763e-07,5.02466608581527e-07,2.26109973861687e-06,1.25616652145382e-06,6.53206591155985e-06
"16","grassAmbDry1_bin.5.orig",1.87008238460937e-06,1.4960659076875e-06,3.74016476921874e-07,1.12204943076562e-06,2.99213181537499e-06,1.12204943076562e-06,7.48032953843749e-06
"17","grassAmbDry1_bin.6.orig",4.31953127902185e-07,4.31953127902185e-07,2.15976563951093e-07,2.15976563951093e-07,8.6390625580437e-07,0,5.39941409877731e-06
"18","grassAmbDry1_bin.7.permissive",2.25127534748435e-06,1.12563767374217e-06,7.50425115828117e-07,1.87606278957029e-06,3.37691302122652e-06,1.87606278957029e-06,6.75382604245305e-06
"19","grassAmbDry1_bin.8.orig",2.33030070588692e-06,7.76766901962307e-07,7.76766901962307e-07,1.16515035294346e-06,3.88383450981154e-06,1.16515035294346e-06,5.048984862755e-06
"20","grassAmbDry1_bin.9.strict",8.63703300642163e-07,1.29555495096325e-06,4.31851650321082e-07,4.31851650321082e-07,1.72740660128433e-06,4.31851650321082e-07,1.64103627122011e-05
"21","grassAmbDry2_bin.1.orig",1.5880817639777e-06,1.5880817639777e-06,7.9404088198885e-07,1.5880817639777e-06,2.77914308696098e-06,1.19106132298328e-06,8.33742926088293e-06
"22","grassAmbDry2_bin.10.orig",6.23382517174968e-07,6.23382517174968e-07,3.11691258587484e-07,3.11691258587484e-07,1.55845629293742e-06,3.11691258587484e-07,6.23382517174968e-06
"23","grassAmbDry2_bin.13.orig",7.75028278844324e-07,3.87514139422162e-07,3.87514139422162e-07,3.87514139422162e-07,1.93757069711081e-06,3.87514139422162e-07,6.20022623075459e-06
"24","grassAmbDry2_bin.14.orig",1.80058437966042e-06,9.00292189830209e-07,4.50146094915105e-07,1.35043828474531e-06,2.70087656949063e-06,1.80058437966042e-06,4.50146094915105e-06
"25","grassAmbDry2_bin.15.orig",6.3508676555391e-07,6.3508676555391e-07,0,0,9.52630148330865e-07,3.17543382776955e-07,7.62104118664692e-06
"26","grassAmbDry2_bin.16.orig",1.76635794655001e-06,1.17757196436667e-06,5.88785982183336e-07,1.17757196436667e-06,2.64953691982501e-06,1.76635794655001e-06,6.77103879510837e-06
"27","grassAmbDry2_bin.17.orig",1.18304647085407e-06,1.18304647085407e-06,7.88697647236048e-07,1.18304647085407e-06,1.97174411809012e-06,1.18304647085407e-06,5.91523235427036e-06
"28","grassAmbDry2_bin.19.orig",1.22523593960077e-06,1.63364791946769e-06,4.08411979866923e-07,8.16823959733846e-07,2.45047187920154e-06,1.22523593960077e-06,8.16823959733846e-06
"29","grassAmbDry2_bin.2.orig",5.07709312048805e-07,7.61563968073208e-07,5.07709312048805e-07,2.53854656024403e-07,1.26927328012201e-06,0,6.85407571265887e-06
"30","grassAmbDry2_bin.20.orig",1.54320701875243e-06,1.23456561500195e-06,6.17282807500974e-07,9.25924211251461e-07,2.46913123000389e-06,1.54320701875243e-06,8.33331790126315e-06
"31","grassAmbDry2_bin.21.orig",2.13471207270402e-06,1.06735603635201e-06,1.06735603635201e-06,1.60103405452802e-06,3.20206810905604e-06,0,9.0725263089921e-06
"32","grassAmbDry2_bin.22.orig",1.17798626389484e-06,7.85324175929893e-07,3.92662087964946e-07,3.92662087964946e-07,3.14129670371957e-06,1.17798626389484e-06,5.88993131947419e-06
"33","grassAmbDry2_bin.23.orig",1.6553173967651e-06,1.24148804757382e-06,8.27658698382548e-07,1.6553173967651e-06,2.89680544433892e-06,2.06914674595637e-06,5.79361088867784e-06
"34","grassAmbDry2_bin.24.orig",1.00406344476095e-06,1.00406344476095e-06,3.34687814920316e-07,6.69375629840632e-07,2.0081268895219e-06,6.69375629840632e-07,5.68969285364537e-06
"35","grassAmbDry2_bin.25.strict",6.30991461108053e-07,6.30991461108053e-07,6.30991461108053e-07,9.46487191662079e-07,2.20847011387818e-06,6.30991461108053e-07,5.67892314997247e-06
"36","grassAmbDry2_bin.26.orig",5.86573909779067e-07,2.93286954889533e-07,2.93286954889533e-07,8.798608646686e-07,2.34629563911627e-06,8.798608646686e-07,5.2791651880116e-06
"37","grassAmbDry2_bin.27.orig",9.60658166122774e-07,7.68526532898219e-07,1.92131633224555e-07,5.76394899673664e-07,2.1134479654701e-06,7.68526532898219e-07,4.99542246383842e-06
"38","grassAmbDry2_bin.28.orig",9.91820784596362e-07,1.32242771279515e-06,6.61213856397575e-07,9.91820784596362e-07,2.97546235378909e-06,1.65303464099394e-06,8.59578013316847e-06
"39","grassAmbDry2_bin.29.permissive",1.5595312049198e-06,1.03968746994653e-06,2.59921867486634e-07,1.03968746994653e-06,3.37898427732624e-06,1.03968746994653e-06,5.4583592172193e-06
"40","grassAmbDry2_bin.3.orig",1.85985473790555e-06,1.11591284274333e-06,7.4394189516222e-07,1.85985473790555e-06,2.60379663306777e-06,1.48788379032444e-06,8.92730274194664e-06
"41","grassAmbDry2_bin.30.strict",1.37636492389046e-06,6.8818246194523e-07,4.58788307963487e-07,1.14697076990872e-06,2.98212400176266e-06,1.14697076990872e-06,6.19364215750707e-06
